VKo_19_1	worst	4.4	28.3	21.6	29.75	22.0	23.8	11.9	2.0	1.0	0.1	0.1	0.3	0.1	0.1	0.3	0.2	2.0	3.6	3.8	0.8	0.8	0.0	0.0	1.0	13.4	
VKo_22_1	worst	4.62	21.86	17.04	21.71	17.29	16.88	9.643	1.75	1.0	0.0	0.286	0.071	0.0	0.286	0.071	0.143	1.75	2.625	2.75	0.5	0.25	0.0	0.0	1.0	6.38	
ZEv_28_1	worst	4.27	23.33	18.69	19.9	14.8	18.55	15.692	1.182	1.0	0.385	0.0	0.154	0.385	0.0	0.154	0.462	1.182	2.091	3.909	0.727	0.545	0.091	0.182	1.364	4.36	
EEm_18_1	worst	4.38	16.21	13.6	15.25	12.92	13	9.389	1.385	1.0	0.222	0.111	0.167	0.222	0.111	0.167	0.056	1.385	1.692	2.154	0.077	0.462	0.154	0.077	1.385	6.31	
EEm_28_1	worst	5.62	28.89	24.82	30.29	26.57	24.38	13.0	1.875	1.0	0.267	0.0	0.0	0.267	0.0	0.0	0.2	1.875	2.5	4.0	0.375	0.5	0.0	0.0	1.625	9.38	
DZu_40_1	worst	2.67	11.24	8.65	10.5	8.29	9.87	8.706	1.133	1.062	0.062	0.0	0.062	0.059	0.0	0.059	0.0	1.067	1.133	1.4	0.6	0.0	0.0	0.0	0.667	4.2	
KKo_18_1	worst	4.0	20.43	15.79	18.29	13.29	16.88	11.25	1.5	1.0	0.167	0.0	0.083	0.167	0.0	0.083	0.083	1.5	1.875	4.0	0.125	0.0	0.0	0.0	1.25	5.5	
LPo_8_1	worst	4.0	19.12	14.98	19.09	14.91	16.08	16.083	1.0	1.0	0.25	0.083	0.083	0.25	0.083	0.083	0.083	1.0	1.333	3.0	0.333	0.667	0.083	0.0	1.417	4.33	
17_1	worst	5.17	30.0	21.93	30.8	22.8	25.67	14.0	1.833	1.0	0.091	0.091	0.273	0.091	0.091	0.273	0.273	1.833	3.833	4.833	0.5	0.167	0.0	0.333	1.667	10.83	
VKo_32_2	worst	5.57	30.0	22.14	28.17	20.5	26.43	9.25	2.857	1.111	0.167	0.111	0.278	0.15	0.1	0.25	0.25	2.571	3.286	2.857	0.714	1.857	0.0	0.429	3.0	12.57	
ZEv_13_2	worst	3.0	12.23	9.34	12.28	9.33	8.84	7.304	1.211	1.0	0.13	0.087	0.087	0.13	0.087	0.087	0.087	1.211	1.158	1.211	0.316	0.526	0.0	0.158	0.895	3.11	
ZEv_28_2	worst	3.78	16.39	12.78	16.0	13.0	12.11	9.083	1.333	1.0	0.083	0.083	0.083	0.083	0.083	0.083	0.083	1.333	1.444	1.444	0.111	0.222	0.0	0.0	1.111	3.78	
EEm_18_2	worst	3.5	14.02	11.38	14.23	12.0	11.14	7.8	1.429	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.25	1.429	0.714	1.286	0.571	0.5	0.0	0.071	0.929	4.57	
EEm_28_2	worst	4.14	19.0	14.86	16.5	12.67	14.29	8.333	1.714	1.091	0.091	0.091	0.182	0.083	0.083	0.167	0.25	1.571	0.714	1.714	0.429	1.0	0.143	0.0	2.0	3.14	
DZu_40_2	worst	3.5	13.17	11.0	13.33	10.67	11.25	6.429	1.75	1.167	0.333	0.167	0.167	0.286	0.143	0.143	0.0	1.5	1.0	0.75	0.0	0.75	0.0	0.25	1.25	3	
KKo_18_2	worst	6.0	33.0	21.67	32.0	19.5	29.67	11.125	2.667	1.0	0.0	0.25	0.625	0.0	0.25	0.625	0.25	2.667	3.0	4.333	0.0	2.667	0.0	0.0	4.333	4.67	
